LD3,ADWIN,EDDM,DDM,KSWIN,HDDM_A,HDDM_W,FHDDM,FHDDMS,FHDDMS_Add,MDDM_A,MDDM_E,MDDM_G,SEQDRIFT2,RDDM,ND
0.1140,0.1093,0.0894,0.0799,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.0797,0.1130,0.0797
0.1616,0.1386,0.0654,0.0525,0.1438,0.1505,0.1469,0.1453,0.1444,0.1483,0.1396,0.1419,0.1419,0.1190,0.1562,0.1469
0.2029,0.1962,0.1593,0.1529,0.1555,0.1555,0.1555,0.1555,0.1555,0.1555,0.1555,0.1555,0.1555,0.1555,0.2016,0.1555
0.3198,0.1431,0.1272,0.1126,0.1793,0.1235,0.1070,0.1240,0.1136,0.1165,0.1218,0.1180,0.1180,0.1709,0.2225,0.1369
0.0693,0.0361,0.0368,0.0364,0.0590,0.0367,0.0367,0.0381,0.0381,0.0373,0.0381,0.0381,0.0381,0.0363,0.0382,0.0608
0.1403,0.1245,0.1355,0.1255,0.1245,0.1371,0.1371,0.1236,0.1236,0.1239,0.1237,0.1242,0.1242,0.1283,0.1237,0.1371
0.1946,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.0327,0.1225,0.0327
0.0788,0.0724,0.0744,0.0749,0.0659,0.0722,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659,0.0750,0.0720,0.0659
0.0788,0.0724,0.0787,0.0749,0.0659,0.0698,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659,0.0717,0.0722,0.0659
0.0808,0.0730,0.0762,0.0759,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761,0.0761,0.0739,0.0746,0.0761
0.3765,0.3622,0.3707,0.3557,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622,0.3622
0.0992,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0550,0.0574,0.0550
