LD3,ADWIN,EDDM,DDM,KSWIN,HDDM_A,HDDM_W,FHDDM,FHDDMS,FHDDMS_Add,MDDM_A,MDDM_E,MDDM_G,SEQDRIFT2,RDDM,ND
0.2240,0.2077,0.1606,0.1424,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,0.1409,0.2239,0.1409
0.3173,0.2999,0.1932,0.1207,0.2893,0.3145,0.3099,0.2965,0.2915,0.3024,0.2992,0.3040,0.3040,0.2828,0.3021,0.3099
0.4048,0.3858,0.3458,0.3010,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3986,0.3024
0.5596,0.2479,0.2737,0.2547,0.3273,0.2549,0.2104,0.2408,0.2253,0.2283,0.2422,0.2375,0.2375,0.3099,0.4141,0.2430
0.1031,0.0424,0.0557,0.0646,0.0974,0.0530,0.0526,0.0424,0.0435,0.0439,0.0426,0.0428,0.0428,0.0429,0.0429,0.1044
0.3496,0.3150,0.3155,0.3017,0.3030,0.3176,0.3176,0.3050,0.3050,0.3077,0.3066,0.3065,0.3065,0.3241,0.3029,0.3176
0.4593,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.1074,0.3905,0.1074
0.1325,0.1364,0.1265,0.1191,0.1211,0.1386,0.1211,0.1211,0.1211,0.1211,0.1211,0.1211,0.1211,0.1339,0.1436,0.1211                          
0.1387,0.1371,0.1236,0.1124,0.1210,0.1264,0.1210,0.1210,0.1210,0.1210,0.1210,0.1210,0.1210,0.1299,0.1432,0.1210                          
0.1719,0.1455,0.1340,0.1201,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1556,0.1410,0.1536,0.1556         
0.5287,0.5204,0.5159,0.5072,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204,0.5204     
0.1242,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1527,0.1461,0.1527
