LD3,ADWIN,EDDM,DDM,KSWIN,HDDM_A,HDDM_W,FHDDM,FHDDMS,FHDDMS_Add,MDDM_A,MDDM_E,MDDM_G,SEQDRIFT2,RDDM,ND
0.1123,0.1156,0.1255,0.1199,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1108,0.1186
0.2731,0.2368,0.1168,0.0950,0.2501,0.2652,0.2676,0.2471,0.2448,0.2563,0.2371,0.2412,0.2412,0.2048,0.2627,0.2676
0.2207,0.2194,0.2012,0.2138,0.2198,0.2198,0.2198,0.2198,0.2198,0.2198,0.2198,0.2198,0.2198,0.2198,0.2196,0.2198
0.3829,0.2621,0.1938,0.1825,0.2909,0.1889,0.1767,0.2116,0.1923,0.1941,0.2069,0.1972,0.1972,0.3000,0.3609,0.1810
0.0834,0.0638,0.0662,0.0652,0.0900,0.0657,0.0657,0.0637,0.0636,0.0626,0.0634,0.0634,0.0635,0.0636,0.0628,0.0948
0.1139,0.1158,0.1210,0.1157,0.1174,0.1221,0.1221,0.1164,0.1164,0.1165,0.1164,0.1166,0.1166,0.1180,0.1169,0.1221
0.2467,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.0776,0.1627,0.0776
0.1405,0.1345,0.1336,0.1336,0.1248,0.1344,0.1248,0.1248,0.1248,0.1248,0.1248,0.1248,0.1248,0.1366,0.1339,0.1248                         
0.1407,0.1344,0.1398,0.1358,0.1247,0.1310,0.1247,0.1247,0.1247,0.1247,0.1247,0.1247,0.1247,0.1331,0.1342,0.1247                         
0.1499,0.1351,0.1367,0.1361,0.1460,0.1460,0.1460,0.1460,0.1460,0.1460,0.1460,0.1460,0.1460,0.1366,0.1385,0.1460   
0.4217,0.4363,0.3987,0.4095,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363,0.4363
0.1352,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0914,0.0889
