LD3,ADWIN,EDDM,DDM,KSWIN,HDDM_A,HDDM_W,FHDDM,FHDDMS,FHDDMS_Add,MDDM_A,MDDM_E,MDDM_G,SEQDRIFT2,RDDM,ND
0.2047,0.1970,0.1641,0.1480,0.1476,0.1476,0.1476,0.1476,0.1476,0.1476,0.1476,0.1476,0.1476,0.1476,0.2030,0.1476
0.2783,0.2435,0.1227,0.0997,0.2514,0.2616,0.2561,0.2537,0.2523,0.2583,0.2450,0.2485,0.2485,0.2127,0.2701,0.2561
0.3374,0.3280,0.2749,0.2652,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.2691,0.3356,0.2691
0.4846,0.2504,0.2257,0.2024,0.3041,0.2199,0.1933,0.2206,0.2040,0.2087,0.2171,0.2111,0.2111,0.2919,0.3640,0.2408
0.1297,0.0697,0.0711,0.0702,0.1115,0.0708,0.0709,0.0734,0.0735,0.0719,0.0734,0.0734,0.0735,0.0700,0.0736,0.1147
0.2461,0.2215,0.2387,0.2230,0.2214,0.2411,0.2411,0.2200,0.2200,0.2205,0.2201,0.2209,0.2209,0.2274,0.2202,0.2411
0.3258,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.0633,0.2183,0.0633
0.1461,0.1351,0.1385,0.1393,0.1236,0.1346,0.1236,0.1236,0.1236,0.1236,0.1236,0.1236,0.1236,0.1395,0.1344,0.1236                         
0.1462,0.1351,0.1460,0.1393,0.1236,0.1306,0.1236,0.1236,0.1236,0.1236,0.1236,0.1236,0.1236,0.1338,0.1348,0.1236                         
0.1495,0.1360,0.1417,0.1411,0.1414,0.1414,0.1414,0.1414,0.1414,0.1414,0.1414,0.1414,0.1414,0.1376,0.1389,0.1414         
0.5470,0.5318,0.5409,0.5247,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318,0.5318
0.1804,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1043,0.1087,0.1043
