LD3,ADWIN,EDDM,DDM,KSWIN,HDDM_A,HDDM_W,FHDDM,FHDDMS,FHDDMS_Add,MDDM_A,MDDM_E,MDDM_G,SEQDRIFT2,RDDM,ND
0.2327,0.2501,0.2961,0.3000,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2912,0.2346,0.2912
0.1422,0.1574,0.4514,0.7729,0.1657,0.1931,0.2047,0.1450,0.1401,0.1660,0.1482,0.1496,0.1496,0.2058,0.1304,0.2047
0.2660,0.3133,0.3993,0.4981,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.4931,0.2773,0.4931
0.1441,0.2235,0.4016,0.4312,0.2511,0.3978,0.4232,0.3113,0.3537,0.3425,0.3165,0.3286,0.3286,0.2237,0.2153,0.1832
0.1977,0.3480,0.5588,0.8373,0.3084,0.5236,0.4987,0.2480,0.2515,0.2510,0.2480,0.2477,0.2476,0.3696,0.2331,0.3315
0.1967,0.2572,0.2406,0.2602,0.2555,0.2368,0.2368,0.2577,0.2577,0.2596,0.2585,0.2572,0.2572,0.2579,0.2583,0.2368
0.2021,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.4227,0.3440,0.4227
0.1694,0.2592,0.2170,0.2112,0.3219,0.2588,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.3219,0.2222,0.2714,0.3219
0.1902,0.2604,0.2031,0.1717,0.3227,0.2974,0.3227,0.3227,0.3227,0.3227,0.3227,0.3227,0.3227,0.2734,0.2728,0.3227
0.2330,0.2658,0.2257,0.1984,0.3029,0.3029,0.3029,0.3029,0.3029,0.3029,0.3029,0.3029,0.3029,0.2673,0.2883,0.3029
0.2831,0.3030,0.2779,0.2913,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030,0.3030
0.2698,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.5004,0.4860,0.5004
